function,wildcard_cors,service_role,in_code_auth,class
agent-create,False,False,False,scoped-cors
agent-draft-from-reco,False,False,False,scoped-cors
agent-execute,False,False,True,scoped-cors
agent-export,False,False,False,scoped-cors
agent-plan-chat,False,False,True,scoped-cors
agent-run,False,False,True,scoped-cors
agent-stream,False,False,True,scoped-cors
agent-suggestions,False,True,True,scoped-cors
agents-deploy,False,False,False,scoped-cors
agents-list,False,False,False,scoped-cors
agents-rollback,False,False,False,scoped-cors
ai-config,False,False,False,scoped-cors
ai-systems,False,False,False,scoped-cors
ai-systems-unified,False,False,False,scoped-cors
analytics-export,False,False,False,scoped-cors
analytics-overview,False,False,False,scoped-cors
analytics-systems,False,False,False,scoped-cors
analyze-document-with-gemini,False,False,True,scoped-cors
analyze-file,False,False,True,scoped-cors
aoc-environment-promotion,False,False,True,scoped-cors
aoc-runtime-action,False,False,True,scoped-cors
aoc-runtime-control,False,True,True,scoped-cors
aoc-simulate-test,False,True,True,scoped-cors
arcade-servers,False,False,True,scoped-cors
builder-generate-summary,False,False,True,scoped-cors
builder-infer-goal,False,False,True,scoped-cors
builder-test,False,False,False,scoped-cors
builders-create,False,False,False,scoped-cors
builders-deploy,False,False,False,scoped-cors
builders-get,False,False,False,scoped-cors
builders-update,False,False,False,scoped-cors
canary-deploy,True,True,True,wildcard + in-code auth
catalog-mcp,False,False,True,scoped-cors
catalog-templates-industry,False,False,False,scoped-cors
catalog-templates-m2m,False,False,False,scoped-cors
chat-with-twin,False,False,True,scoped-cors
classify-content,False,False,True,scoped-cors
classify-intent,False,False,True,scoped-cors
connection-credential,True,True,True,wildcard + in-code auth
connection-health-check,True,True,True,wildcard + in-code auth
connection-provision,True,True,True,wildcard + in-code auth
copilot-chat,False,False,True,scoped-cors
copilot-chat-simple,False,False,True,scoped-cors
copilot-health,False,False,True,scoped-cors
copilot-router,False,False,True,scoped-cors
copilot-search,False,False,True,scoped-cors
copilot-stream,False,False,True,scoped-cors
dc-create-twin-from-recommendation,False,True,True,scoped-cors
dc-scan-url,False,True,True,scoped-cors
deterministic-recommendations,False,False,True,scoped-cors
digital-twin-create,False,False,False,scoped-cors
digital-twin-delete,False,False,False,scoped-cors
digital-twin-event,False,False,True,scoped-cors
digital-twin-get,False,False,False,scoped-cors
digital-twin-list,False,False,False,scoped-cors
digital-twin-run-get,False,False,True,scoped-cors
digital-twin-runs-list,False,False,True,scoped-cors
digital-twin-runtime,False,False,True,scoped-cors
digital-twin-update,False,False,False,scoped-cors
document-analysis-start,False,False,False,scoped-cors
document-analysis-status,False,False,False,scoped-cors
dsx-ingest,True,True,True,wildcard + in-code auth
funding-query,False,False,False,scoped-cors
funding-scraper,False,True,True,scoped-cors
generate-ai-recommendations,False,False,False,scoped-cors
generate-ctas,False,False,False,scoped-cors
green-dc-recommend,True,False,False,"wildcard, no service role"
grounded-summary,False,True,True,scoped-cors
health,False,False,False,scoped-cors
health-ai,False,False,False,scoped-cors
